Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,2/16/2024,REMOTE ONLINE DEPOSIT #          1,765,CHECK_DEPOSIT, ,1
DSLIP,2/16/2024,DEPOSIT,437.57,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,393.86,DEPOSIT, ,
DSLIP,2/16/2024,REMOTE ONLINE DEPOSIT #          1,373.8,CHECK_DEPOSIT, ,1
DSLIP,2/16/2024,DEPOSIT,334.86,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,331.9,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,313.87,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,281.89,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,203.91,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,127.95,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,100,DEPOSIT, ,
DSLIP,2/16/2024,DEPOSIT,83.97,DEPOSIT, ,
DSLIP,2/6/2024,DEPOSIT,301.87,DEPOSIT, ,
DSLIP,2/6/2024,DEPOSIT,289.41,DEPOSIT, ,
DSLIP,2/6/2024,DEPOSIT,202.93,DEPOSIT, ,
DSLIP,2/6/2024,DEPOSIT,157.94,DEPOSIT, ,
DSLIP,2/6/2024,DEPOSIT,99.96,DEPOSIT, ,
DSLIP,2/6/2024,DEPOSIT,75.98,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,332.87,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,278.93,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,276.38,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,239.5,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,225.91,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,158.94,DEPOSIT, ,
DSLIP,1/31/2024,DEPOSIT,145.95,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,606.78,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,534.61,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,305.88,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,284.47,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,181.92,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,179.14,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,170.94,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,141.95,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,128.95,DEPOSIT, ,
DSLIP,1/24/2024,DEPOSIT,47.48,DEPOSIT, ,
DSLIP,1/10/2024,DEPOSIT,444.24,DEPOSIT, ,
DSLIP,1/10/2024,DEPOSIT,242.7,DEPOSIT, ,
DSLIP,1/10/2024,DEPOSIT,158.42,DEPOSIT, ,
DSLIP,1/10/2024,DEPOSIT,119.94,DEPOSIT, ,
DSLIP,1/10/2024,DEPOSIT,76.97,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,830.74,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,630.01,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,468.78,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,411.22,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,408.86,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,348.35,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,335.46,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,302.82,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,300.16,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,279.88,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,273.9,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,258.49,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,253.9,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,211.96,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,174.92,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,173.93,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,127.76,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,101.45,DEPOSIT, ,
DSLIP,1/8/2024,DEPOSIT,57.97,DEPOSIT, ,
DSLIP,12/18/2023,DEPOSIT,337.84,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,575.56,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,191.93,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,171.92,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,147.94,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,127.95,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,120.06,DEPOSIT, ,
DSLIP,12/15/2023,DEPOSIT,71.97,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,489.26,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,335.85,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,323.69,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,318.87,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,299.87,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,290.39,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,203.72,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,202.91,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,195.92,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,193.21,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,111.95,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,84.97,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,59.98,DEPOSIT, ,
DSLIP,12/8/2023,DEPOSIT,54.32,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,611.79,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,343.55,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,282.89,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,244.21,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,219.89,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,198.41,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,195.48,DEPOSIT, ,
DSLIP,11/30/2023,DEPOSIT,81.99,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,419.8,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,309.1,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,292.38,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,174.73,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,145.94,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,145.93,DEPOSIT, ,
DSLIP,11/14/2023,DEPOSIT,131.96,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,424.02,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,330.9,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,306.61,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,296.37,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,252.88,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,206.91,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,203.51,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,201.82,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,200.92,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,144.96,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,143.95,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,137.93,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,106.55,DEPOSIT, ,
DSLIP,11/13/2023,DEPOSIT,26.98,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,808.12,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,343.38,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,324.2,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,282.49,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,263.28,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,251.92,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,249.69,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,156.95,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,132.32,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,126.96,DEPOSIT, ,
DSLIP,10/24/2023,DEPOSIT,72.97,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,378.44,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,356.35,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,290.2,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,274.91,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,273.93,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,270.9,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,262.9,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,248.38,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,244.2,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,242.68,DEPOSIT, ,
DSLIP,10/13/2023,DEPOSIT,237.9,DEPOSIT, ,
