Date,Amount
2024-02-16,765.0
2024-02-16,437.57
2024-02-16,393.86
2024-02-16,373.8
2024-02-16,334.86
2024-02-16,331.9
2024-02-16,313.87
2024-02-16,281.89
2024-02-16,203.91
2024-02-16,127.95
2024-02-16,100.0
2024-02-16,83.97
2024-02-06,301.87
2024-02-06,289.41
2024-02-06,202.93
2024-02-06,157.94
2024-02-06,99.96
2024-02-06,75.98
2024-01-31,332.87
2024-01-31,278.93
2024-01-31,276.38
2024-01-31,239.5
2024-01-31,225.91
2024-01-31,158.94
2024-01-31,145.95
2024-01-24,606.78
2024-01-24,534.61
2024-01-24,305.88
2024-01-24,284.47
2024-01-24,181.92
2024-01-24,179.14
2024-01-24,170.94
2024-01-24,141.95
2024-01-24,128.95
2024-01-24,47.48
2024-01-10,444.24
2024-01-10,242.7
2024-01-10,158.42
2024-01-10,119.94
2024-01-10,76.97
2024-01-08,830.74
2024-01-08,630.01
2024-01-08,468.78
2024-01-08,411.22
2024-01-08,408.86
2024-01-08,348.35
2024-01-08,335.46
2024-01-08,302.82
2024-01-08,300.16
2024-01-08,279.88
2024-01-08,273.9
2024-01-08,258.49
2024-01-08,253.9
2024-01-08,211.96
2024-01-08,174.92
2024-01-08,173.93
2024-01-08,127.76
2024-01-08,101.45
2024-01-08,57.97
2023-12-18,337.84
2023-12-15,575.56
2023-12-15,191.93
2023-12-15,171.92
2023-12-15,147.94
2023-12-15,127.95
2023-12-15,120.06
2023-12-15,71.97
2023-12-08,489.26
2023-12-08,335.85
2023-12-08,323.69
2023-12-08,318.87
2023-12-08,299.87
2023-12-08,290.39
2023-12-08,203.72
2023-12-08,202.91
2023-12-08,195.92
2023-12-08,193.21
2023-12-08,111.95
2023-12-08,84.97
2023-12-08,59.98
2023-12-08,54.32
2023-11-30,611.79
2023-11-30,343.55
2023-11-30,282.89
2023-11-30,244.21
2023-11-30,219.89
2023-11-30,198.41
2023-11-30,195.48
2023-11-30,81.99
2023-11-14,419.8
2023-11-14,309.1
