Date_x,Cash Posted
03/23/2024,126.0
03/22/2024,137.95
03/20/2024,224.0
03/19/2024,129.0
03/18/2024,215.0
03/17/2024,173.0
03/15/2024,210.34
03/14/2024,129.0
03/12/2024,221.0
03/11/2024,324.0
03/10/2024,214.75
03/09/2024,74.0
03/07/2024,233.01
03/06/2024,94.0
03/05/2024,78.0
03/04/2024,231.0
03/03/2024,162.0
03/02/2024,331.0
03/01/2024,210.75
02/29/2024,131.94
02/28/2024,568.8
02/27/2024,307.85
02/26/2024,260.0
02/25/2024,234.0
02/24/2024,266.86
02/23/2024,364.17
02/22/2024,135.95
02/21/2024,323.88
02/20/2024,34.49
02/18/2024,185.94
02/17/2024,180.91
02/16/2024,688.84
02/15/2024,319.7
