Register,Sequence,Opened,Closed,"Store Credit Amount","Store Credit Posted","Lightspeed Payments Amount","Lightspeed Payments Posted","Cash Amount","Cash Posted","Credit Card Amount","Credit Card Posted","Debit Amount","Debit Posted","Chase Amount","Chase Posted","Gift Card Amount","Gift Card Posted",Total
"Division Vapor Southeast",3415,2024-03-23T09:47:55-07:00,2024-03-23T19:05:28-07:00,0,0,0,0,126,126,0,0,0,0,1716.51,1716.51,0,0,1842.51
"Division Vapor Southeast",3414,2024-03-22T08:25:34-07:00,2024-03-22T18:58:47-07:00,0,0,0,0,137.95,137.95,0,0,0,0,1779.3,1779.3,0,0,1917.25
"Division Vapor Southeast",3413,2024-03-21T09:46:07-07:00,2024-03-21T19:01:20-07:00,0,0,0,0,71.97,71.97,0,0,0,0,790.7,790.7,0,0,862.67
"Division Vapor Southeast",3412,2024-03-20T09:55:27-07:00,2024-03-20T19:08:00-07:00,0,0,0,0,224,224,0,0,0,0,1784.3,1784.3,0,0,2008.3
"Division Vapor Southeast",3411,2024-03-19T09:56:49-07:00,2024-03-19T19:05:23-07:00,0,0,0,0,129,129,0,0,0,0,800.65,800.65,0,0,929.65
"Division Vapor Southeast",3410,2024-03-18T09:45:02-07:00,2024-03-18T19:09:31-07:00,0,0,0,0,215,215,0,0,0,0,1924.89,1924.89,0,0,2139.89
"Division Vapor Southeast",3409,2024-03-17T11:37:28-07:00,2024-03-17T19:03:33-07:00,0,0,0,0,173,173,0,0,0,0,1482.46,1482.46,0,0,1655.46
"Division Vapor Southeast",3408,2024-03-16T09:57:12-07:00,2024-03-16T19:04:24-07:00,0,0,0,0,121.95,121.95,0,0,0,0,1205.87,1205.87,0,0,1327.82
"Division Vapor Southeast",3407,2024-03-15T09:50:32-07:00,2024-03-15T19:03:01-07:00,0,0,0,0,210.34,210.34,0,0,0,0,2079.73,2079.73,0,0,2290.07
"Division Vapor Southeast",3406,2024-03-14T10:15:23-07:00,2024-03-14T19:16:37-07:00,0,0,0,0,129,129,0,0,0,0,1674.36,1674.36,0,0,1803.36
"Division Vapor Southeast",3405,2024-03-13T09:56:00-07:00,2024-03-13T19:07:03-07:00,0,0,0,0,132.94,132.94,0,0,0,0,1657.81,1657.81,0,0,1790.75
"Division Vapor Southeast",3404,2024-03-12T09:54:36-07:00,2024-03-12T19:02:19-07:00,0,0,0,0,221,221,0,0,0,0,1880.78,1880.78,0,0,2101.78
"Division Vapor Southeast",3403,2024-03-11T08:21:55-07:00,2024-03-11T19:07:22-07:00,0,0,0,0,324,324,0,0,0,0,1272.77,1272.77,0,0,1596.77
"Division Vapor Southeast",3402,2024-03-10T11:40:06-07:00,2024-03-10T19:06:55-07:00,0,0,0,0,214.75,214.75,0,0,0,0,1705.56,1667.58,0,0,1920.31
"Division Vapor Southeast",3401,2024-03-09T09:51:13-08:00,2024-03-09T19:05:31-08:00,0,0,0,0,74,74,0,0,0,0,1674.36,1674.36,0,0,1748.36
"Division Vapor Southeast",3400,2024-03-08T10:10:00-08:00,2024-03-08T19:05:03-08:00,0,0,0,0,181.92,181.92,0,0,0,0,2060.05,2060.05,0,0,2241.97
"Division Vapor Southeast",3399,2024-03-07T09:47:18-08:00,2024-03-07T19:04:05-08:00,0,0,0,0,233.01,233.01,0,0,0,0,1187.07,1187.07,0,0,1420.08
"Division Vapor Southeast",3398,2024-03-06T10:01:52-08:00,2024-03-06T19:08:43-08:00,0,0,0,0,94,94,0,0,0,0,1097.05,1097.05,0,0,1191.05
"Division Vapor Southeast",3397,2024-03-05T09:45:14-08:00,2024-03-05T19:08:47-08:00,0,0,0,0,78,78,0,0,0,0,1707.31,1707.31,0,0,1785.31
"Division Vapor Southeast",3396,2024-03-04T09:39:47-08:00,2024-03-04T19:06:07-08:00,0,0,0,0,231,231,0,0,0,0,1712.8,1712.8,0,0,1943.8
"Division Vapor Southeast",3395,2024-03-03T11:49:35-08:00,2024-03-03T19:04:50-08:00,0,0,0,0,162,162,0,0,0,0,1563.38,1563.38,0,0,1725.38
"Division Vapor Southeast",3394,2024-03-02T09:57:00-08:00,2024-03-02T19:05:02-08:00,0,0,0,0,331,331,0,0,0,0,1427.75,1427.75,0,0,1758.75
"Division Vapor Southeast",3393,2024-03-01T09:49:39-08:00,2024-03-01T19:02:41-08:00,0,0,0,0,210.75,210.75,0,0,0,0,2421.73,2421.73,0,0,2632.48
"Division Vapor Southeast",3392,2024-02-29T09:55:00-08:00,2024-02-29T19:02:01-08:00,0,0,0,0,131.94,131.94,0,0,0,0,1487.65,1487.65,0,0,1619.59
"Division Vapor Southeast",3391,2024-02-28T09:33:39-08:00,2024-02-28T19:05:43-08:00,0,0,0,0,568.8,568.8,0,0,0,0,1670.68,1670.68,0,0,2239.48
"Division Vapor Southeast",3390,2024-02-27T09:36:45-08:00,2024-02-27T19:10:58-08:00,0,0,0,0,307.85,307.85,0,0,0,0,1601.32,1601.32,0,0,1909.17
"Division Vapor Southeast",3389,2024-02-26T09:32:56-08:00,2024-02-26T19:04:23-08:00,0,0,0,0,260,260,0,0,0,0,1498.43,1498.43,0,0,1758.43
"Division Vapor Southeast",3388,2024-02-25T11:43:37-08:00,2024-02-25T19:03:08-08:00,0,0,0,0,234,234,0,0,0,0,1336.46,1336.46,0,0,1570.46
"Division Vapor Southeast",3387,2024-02-24T09:48:25-08:00,2024-02-24T19:04:15-08:00,0,0,0,0,266.86,266.86,0,0,0,0,1133.51,1133.51,0,0,1400.37
"Division Vapor Southeast",3386,2024-02-23T09:50:40-08:00,2024-02-23T19:03:09-08:00,0,0,0,0,364.17,364.17,0,0,0,0,1902.94,1902.94,0,0,2267.11
"Division Vapor Southeast",3385,2024-02-22T09:45:50-08:00,2024-02-22T19:00:56-08:00,0,0,0,0,135.95,135.95,0,0,0,0,1956.96,1956.96,0,0,2092.91
"Division Vapor Southeast",3384,2024-02-21T09:39:28-08:00,2024-02-21T19:08:18-08:00,0,0,0,0,323.88,323.88,0,0,0,0,1509.41,1509.41,0,0,1833.29
"Division Vapor Southeast",3383,2024-02-20T09:36:10-08:00,2024-02-20T19:00:01-08:00,0,0,0,0,34.49,34.49,0,0,0,0,1714.13,1714.43,0,0,1748.62
"Division Vapor Southeast",3382,2024-02-19T09:50:15-08:00,2024-02-19T19:03:03-08:00,0,0,0,0,51.98,51.98,0,0,0,0,1254.53,1224.54,0,0,1306.51
"Division Vapor Southeast",3381,2024-02-18T11:53:12-08:00,2024-02-18T19:03:23-08:00,0,0,0,0,185.94,185.94,0,0,0,0,1914.32,1914.32,0,0,2100.26
"Division Vapor Southeast",3380,2024-02-17T09:54:07-08:00,2024-02-17T19:03:26-08:00,0,0,0,0,180.91,180.91,0,0,0,0,1679.28,1679.28,0,0,1860.19
"Division Vapor Southeast",3379,2024-02-16T09:43:36-08:00,2024-02-16T19:03:20-08:00,0,0,0,0,688.84,688.84,0,0,0,0,2372.9,2372.9,0,0,3061.74
"Division Vapor Southeast",3378,2024-02-15T09:55:55-08:00,2024-02-15T19:05:33-08:00,0,0,0,0,319.7,319.7,0,0,0,0,1873.57,1843.58,0,0,2193.27
